MoDy,MaxT,AveT,MinT,HDD,MHDD,CDD,MCDD,PcpD,PcpM,SnwD,SnwM,SnwG,PcpYr
1/1,37.8,30.7,23.6,34.2,34,0.0,0,0.123,0.12,0.34,0.3,1.7,0.12
1/2,37.6,30.5,23.4,34.4,69,0.0,0,0.124,0.25,0.35,0.7,1.8,0.25
1/3,37.5,30.4,23.3,34.6,103,0.0,0,0.125,0.37,0.36,1.1,1.9,0.37
1/4,37.3,30.2,23.1,34.8,138,0.0,0,0.126,0.50,0.37,1.4,2.0,0.50
1/5,37.2,30.1,22.9,34.9,173,0.0,0,0.126,0.62,0.38,1.8,2.1,0.62
1/6,37.0,29.9,22.8,35.1,208,0.0,0,0.127,0.75,0.39,2.2,2.2,0.75
1/7,36.9,29.8,22.6,35.2,243,0.0,0,0.127,0.88,0.40,2.6,2.3,0.88
1/8,36.8,29.6,22.5,35.3,278,0.0,0,0.127,1.01,0.40,3.0,2.3,1.01
1/9,36.7,29.5,22.4,35.5,314,0.0,0,0.128,1.13,0.41,3.4,2.4,1.13
1/10,36.6,29.4,22.3,35.6,349,0.0,0,0.128,1.26,0.42,3.8,2.5,1.26
1/11,36.5,29.3,22.1,35.7,385,0.0,0,0.128,1.39,0.42,4.2,2.5,1.39
1/12,36.4,29.2,22.0,35.8,421,0.0,0,0.129,1.52,0.43,4.7,2.6,1.52
1/13,36.3,29.2,22.0,35.8,457,0.0,0,0.129,1.65,0.43,5.1,2.6,1.65
1/14,36.3,29.1,21.9,35.9,493,0.0,0,0.129,1.78,0.44,5.5,2.6,1.78
1/15,36.2,29.0,21.8,36.0,529,0.0,0,0.129,1.90,0.44,6.0,2.7,1.90
1/16,36.2,29.0,21.8,36.1,565,0.0,0,0.129,2.03,0.44,6.4,2.7,2.03
1/17,36.1,28.9,21.7,36.1,601,0.0,0,0.129,2.16,0.44,6.9,2.7,2.16
1/18,36.1,28.9,21.7,36.1,637,0.0,0,0.129,2.29,0.45,7.3,2.8,2.29
1/19,36.1,28.8,21.6,36.2,673,0.0,0,0.128,2.42,0.45,7.8,2.8,2.42
1/20,36.1,28.8,21.6,36.2,709,0.0,0,0.128,2.55,0.45,8.2,2.8,2.55
1/21,36.0,28.8,21.6,36.2,746,0.0,0,0.128,2.67,0.45,8.7,2.8,2.67
1/22,36.0,28.8,21.6,36.2,782,0.0,0,0.128,2.80,0.45,9.1,2.8,2.80
1/23,36.1,28.8,21.6,36.2,818,0.0,0,0.127,2.93,0.45,9.6,2.8,2.93
1/24,36.1,28.8,21.6,36.2,854,0.0,0,0.127,3.06,0.45,10.0,2.8,3.06
1/25,36.1,28.9,21.6,36.1,890,0.0,0,0.126,3.18,0.45,10.5,2.8,3.18
1/26,36.1,28.9,21.7,36.1,926,0.0,0,0.126,3.31,0.45,10.9,2.8,3.31
1/27,36.2,29.0,21.7,36.1,962,0.0,0,0.125,3.43,0.44,11.4,2.7,3.43
1/28,36.2,29.0,21.8,36.0,998,0.0,0,0.125,3.56,0.44,11.8,2.7,3.56
1/29,36.3,29.1,21.8,36.0,1034,0.0,0,0.124,3.68,0.44,12.2,2.7,3.68
1/30,36.4,29.1,21.9,35.9,1070,0.0,0,0.123,3.81,0.44,12.7,2.6,3.81
1/31,36.4,29.2,22.0,35.8,1106,0.0,0,0.122,3.93,0.43,13.1,2.6,3.93
2/1,36.5,29.3,22.1,35.7,36,0.0,0,0.122,0.12,0.43,0.4,2.6,4.05
2/2,36.6,29.4,22.2,35.6,71,0.0,0,0.121,0.24,0.42,0.8,2.5,4.17
2/3,36.7,29.5,22.3,35.5,107,0.0,0,0.120,0.36,0.42,1.3,2.5,4.29
2/4,36.8,29.6,22.4,35.4,142,0.0,0,0.119,0.48,0.41,1.7,2.4,4.41
2/5,37.0,29.7,22.5,35.3,178,0.0,0,0.119,0.60,0.41,2.1,2.4,4.53
2/6,37.1,29.9,22.6,35.2,213,0.0,0,0.118,0.72,0.40,2.5,2.3,4.65
2/7,37.2,30.0,22.8,35.0,248,0.0,0,0.118,0.84,0.40,2.9,2.3,4.77
2/8,37.3,30.1,22.9,34.9,283,0.0,0,0.117,0.95,0.40,3.3,2.2,4.88
2/9,37.5,30.3,23.0,34.8,317,0.0,0,0.117,1.07,0.39,3.7,2.2,5.00
2/10,37.6,30.4,23.2,34.6,352,0.0,0,0.117,1.19,0.39,4.1,2.2,5.12
2/11,37.8,30.6,23.3,34.5,387,0.0,0,0.116,1.30,0.38,4.5,2.1,5.23
2/12,37.9,30.7,23.5,34.3,421,0.0,0,0.116,1.42,0.38,4.8,2.1,5.35
2/13,38.1,30.9,23.7,34.2,455,0.0,0,0.116,1.54,0.38,5.2,2.0,5.46
2/14,38.3,31.0,23.8,34.0,489,0.0,0,0.116,1.65,0.37,5.6,2.0,5.58
2/15,38.4,31.2,24.0,33.8,523,0.0,0,0.115,1.77,0.37,5.9,1.9,5.69
2/16,38.6,31.4,24.2,33.6,556,0.0,0,0.115,1.88,0.36,6.3,1.9,5.81
2/17,38.8,31.6,24.4,33.4,590,0.0,0,0.115,2.00,0.36,6.7,1.9,5.93
2/18,39.0,31.8,24.6,33.2,623,0.0,0,0.115,2.11,0.36,7.0,1.8,6.04
2/19,39.2,32.0,24.8,33.0,656,0.0,0,0.116,2.23,0.35,7.4,1.8,6.16
2/20,39.4,32.2,25.0,32.8,689,0.0,0,0.116,2.34,0.35,7.7,1.7,6.27
2/21,39.7,32.4,25.2,32.6,722,0.0,0,0.116,2.46,0.34,8.1,1.7,6.39
2/22,39.9,32.6,25.4,32.4,754,0.0,0,0.116,2.58,0.34,8.4,1.6,6.50
2/23,40.1,32.9,25.6,32.1,786,0.0,0,0.116,2.69,0.34,8.7,1.6,6.62
2/24,40.4,33.1,25.8,31.9,818,0.0,0,0.117,2.81,0.33,9.1,1.5,6.74
2/25,40.6,33.3,26.1,31.7,850,0.0,0,0.117,2.93,0.33,9.4,1.5,6.85
2/26,40.8,33.6,26.3,31.4,881,0.0,0,0.117,3.04,0.32,9.7,1.5,6.97
2/27,41.1,33.8,26.6,31.2,912,0.0,0,0.118,3.16,0.32,10.0,1.4,7.09
2/28,41.4,34.1,26.8,30.9,943,0.0,0,0.118,3.28,0.32,10.4,1.4,7.21
2/29,41.6,34.3,27.1,30.6,974,0.0,0,0.119,3.40,0.31,10.7,1.3,7.33
3/1,41.9,34.6,27.3,30.4,30,0.0,0,0.120,0.12,0.31,0.3,1.3,7.45
3/2,42.2,34.9,27.6,30.1,60,0.0,0,0.120,0.24,0.31,0.6,1.2,7.57
3/3,42.5,35.2,27.9,29.8,90,0.0,0,0.121,0.36,0.30,0.9,1.2,7.69
3/4,42.7,35.4,28.1,29.5,120,0.0,0,0.121,0.48,0.30,1.2,1.1,7.81
3/5,43.0,35.7,28.4,29.3,149,0.0,0,0.122,0.60,0.29,1.5,1.1,7.93
3/6,43.3,36.0,28.7,29.0,178,0.0,0,0.122,0.73,0.29,1.8,1.1,8.05
3/7,43.6,36.3,28.9,28.7,207,0.0,0,0.123,0.85,0.28,2.1,1.0,8.18
3/8,43.9,36.5,29.2,28.4,235,0.0,0,0.123,0.97,0.28,2.4,1.0,8.30
3/9,44.2,36.8,29.5,28.2,263,0.0,0,0.123,1.09,0.28,2.6,0.9,8.42
3/10,44.5,37.1,29.8,27.9,291,0.0,0,0.124,1.22,0.27,2.9,0.9,8.55
3/11,44.8,37.4,30.0,27.6,319,0.0,0,0.124,1.34,0.27,3.2,0.9,8.67
3/12,45.1,37.7,30.3,27.3,346,0.0,0,0.124,1.47,0.26,3.4,0.8,8.79
3/13,45.3,38.0,30.6,27.0,373,0.0,0,0.125,1.59,0.26,3.7,0.8,8.92
